time,linear_x,linear_y,linear_z,angular_z
12.240000,0.200000,0.000000,0.000000,0.000000
12.270000,0.200000,0.000000,0.000000,0.000000
12.300000,0.200000,0.000000,0.000000,0.000000
12.330000,0.200000,0.000000,0.000000,0.000000
12.360000,0.200000,0.000000,0.000000,0.000000
12.390000,0.200000,0.000000,0.000000,0.000000
12.410000,0.200000,0.000000,0.000000,0.000000
12.440000,0.200000,0.000000,0.000000,0.000000
12.470000,0.200000,0.000000,0.000000,0.000000
12.490000,0.200000,0.000000,0.000000,0.000000
12.520000,0.200000,0.000000,0.000000,0.000000
12.550000,0.200000,0.000000,0.000000,0.000000
12.580000,0.200000,0.000000,0.000000,0.000000
12.610000,0.200000,0.000000,0.000000,0.000000
12.640000,0.200000,0.000000,0.000000,0.000000
12.670000,0.200000,0.000000,0.000000,0.000000
12.690000,0.200000,0.000000,0.000000,0.000000
12.720000,0.200000,0.000000,0.000000,0.000000
12.750000,0.200000,0.000000,0.000000,0.000000
12.780000,0.200000,0.000000,0.000000,0.000000
12.810000,0.200000,0.000000,0.000000,0.000000
12.840000,0.200000,0.000000,0.000000,0.000000
12.860000,0.200000,0.000000,0.000000,0.000000
12.890000,0.200000,0.000000,0.000000,0.000000
12.920000,0.200000,0.000000,0.000000,0.000000
12.950000,0.200000,0.000000,0.000000,0.000000
12.980000,0.200000,0.000000,0.000000,0.000000
13.010000,0.200000,0.000000,0.000000,0.000000
13.040000,0.200000,0.000000,0.000000,0.000000
13.070000,0.200000,0.000000,0.000000,0.000000
13.090000,0.200000,0.000000,0.000000,0.000000
13.120000,0.200000,0.000000,0.000000,0.000000
13.150000,0.200000,0.000000,0.000000,0.000000
13.180000,0.200000,0.000000,0.000000,0.000000
13.200000,0.200000,0.000000,0.000000,0.000000
13.230000,0.200000,0.000000,0.000000,0.000000
13.250000,0.200000,0.000000,0.000000,0.000000
13.290000,0.200000,0.000000,0.000000,0.000000
13.320000,0.200000,0.000000,0.000000,0.000000
13.340000,0.200000,0.000000,0.000000,0.000000
13.370000,0.200000,0.000000,0.000000,0.000000
13.390000,0.200000,0.000000,0.000000,0.000000
13.420000,0.200000,0.000000,0.000000,0.000000
13.440000,0.200000,0.000000,0.000000,0.000000
13.470000,0.200000,0.000000,0.000000,0.000000
13.500000,0.200000,0.000000,0.000000,0.000000
13.530000,0.200000,0.000000,0.000000,0.000000
13.560000,0.200000,0.000000,0.000000,0.000000
13.580000,0.200000,0.000000,0.000000,0.000000
13.610000,0.200000,0.000000,0.000000,0.000000
13.630000,0.200000,0.000000,0.000000,0.000000
13.660000,0.200000,0.000000,0.000000,0.000000
13.690000,0.200000,0.000000,0.000000,0.000000
13.710000,0.200000,0.000000,0.000000,0.000000
13.730000,0.200000,0.000000,0.000000,0.000000
13.760000,0.200000,0.000000,0.000000,0.000000
13.790000,0.200000,0.000000,0.000000,0.000000
13.820000,0.200000,0.000000,0.000000,0.000000
13.850000,0.200000,0.000000,0.000000,0.000000
13.880000,0.200000,0.000000,0.000000,0.000000
13.910000,0.200000,0.000000,0.000000,0.000000
13.930000,0.200000,0.000000,0.000000,0.000000
13.960000,0.200000,0.000000,0.000000,0.000000
13.990000,0.200000,0.000000,0.000000,0.000000
14.010000,0.200000,0.000000,0.000000,0.000000
14.040000,0.200000,0.000000,0.000000,0.000000
14.070000,0.200000,0.000000,0.000000,0.000000
14.090000,0.200000,0.000000,0.000000,0.000000
14.120000,0.200000,0.000000,0.000000,0.000000
14.150000,0.200000,0.000000,0.000000,0.000000
14.180000,0.200000,0.000000,0.000000,0.000000
14.210000,0.200000,0.000000,0.000000,0.000000
14.240000,0.200000,0.000000,0.000000,0.000000
14.270000,0.200000,0.000000,0.000000,0.000000
14.300000,0.200000,0.000000,0.000000,0.000000
14.330000,0.200000,0.000000,0.000000,0.000000
14.350000,0.200000,0.000000,0.000000,0.000000
14.380000,0.200000,0.000000,0.000000,0.000000
14.410000,0.200000,0.000000,0.000000,0.000000
14.440000,0.200000,0.000000,0.000000,0.000000
14.470000,0.200000,0.000000,0.000000,0.000000
14.500000,0.200000,0.000000,0.000000,0.000000
14.530000,0.200000,0.000000,0.000000,0.000000
14.550000,0.200000,0.000000,0.000000,0.000000
14.580000,0.200000,0.000000,0.000000,0.000000
14.610000,0.200000,0.000000,0.000000,0.000000
14.630000,0.200000,0.000000,0.000000,0.000000
14.670000,0.200000,0.000000,0.000000,0.000000
14.700000,0.200000,0.000000,0.000000,0.000000
14.730000,0.200000,0.000000,0.000000,0.000000
14.750000,0.200000,0.000000,0.000000,0.000000
14.780000,0.200000,0.000000,0.000000,0.000000
14.810000,0.200000,0.000000,0.000000,0.000000
14.840000,0.200000,0.000000,0.000000,0.000000
14.860000,0.200000,0.000000,0.000000,0.000000
14.890000,0.200000,0.000000,0.000000,0.000000
14.930000,0.200000,0.000000,0.000000,0.000000
14.960000,0.200000,0.000000,0.000000,0.000000
14.990000,0.200000,0.000000,0.000000,0.000000
15.020000,0.200000,0.000000,0.000000,0.000000
15.050000,0.200000,0.000000,0.000000,0.000000
15.080000,0.200000,0.000000,0.000000,0.000000
15.110000,0.199950,0.000000,0.000000,0.000000
15.140000,0.199650,0.000000,0.000000,0.000000
15.170000,0.199350,0.000000,0.000000,0.000000
